Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[beomi/KoAlpaca-v1.1a] 21155개 예제
[nlpai-lab/kullm-v2] 152630개 예제
train 167505 / val 1691 예제
베이스 모델: checkpoints/base_1b/latest.pt (step 23999)
총 5234 steps (2 epochs)
SFT 전 val loss (베이스 모델): 1.3236
epoch 0 step 1160/5234 | loss 1.2219 | lr 1.80e-05 | 4322s
epoch 0 step 1170/5234 | loss 1.3787 | lr 1.80e-05 | 4359s
epoch 0 step 1180/5234 | loss 1.4433 | lr 1.80e-05 | 4395s
epoch 0 step 1190/5234 | loss 1.3745 | lr 1.79e-05 | 4432s
epoch 0 step 1200/5234 | loss 1.4128 | lr 1.79e-05 | 4470s
epoch 0 step 1210/5234 | loss 1.3393 | lr 1.79e-05 | 4507s
epoch 0 step 1220/5234 | loss 1.4071 | lr 1.78e-05 | 4543s
epoch 0 step 1230/5234 | loss 1.0576 | lr 1.78e-05 | 4583s
epoch 0 step 1240/5234 | loss 1.2949 | lr 1.78e-05 | 4620s
epoch 0 step 1250/5234 | loss 1.1919 | lr 1.77e-05 | 4658s
epoch 0 step 1260/5234 | loss 1.4472 | lr 1.77e-05 | 4694s
epoch 0 step 1270/5234 | loss 1.4774 | lr 1.77e-05 | 4729s
epoch 0 step 1280/5234 | loss 1.0460 | lr 1.76e-05 | 4766s
epoch 0 step 1290/5234 | loss 1.2930 | lr 1.76e-05 | 4803s
epoch 0 step 1300/5234 | loss 1.2711 | lr 1.75e-05 | 4842s
epoch 0 step 1310/5234 | loss 1.2955 | lr 1.75e-05 | 4880s
epoch 0 step 1320/5234 | loss 1.0365 | lr 1.75e-05 | 4916s
epoch 0 step 1330/5234 | loss 1.4174 | lr 1.74e-05 | 4952s
epoch 0 step 1340/5234 | loss 1.4035 | lr 1.74e-05 | 4988s
epoch 0 step 1350/5234 | loss 1.4413 | lr 1.73e-05 | 5026s
epoch 0 step 1360/5234 | loss 1.2265 | lr 1.73e-05 | 5064s
epoch 0 step 1370/5234 | loss 1.3756 | lr 1.73e-05 | 5103s
epoch 0 step 1380/5234 | loss 1.0998 | lr 1.72e-05 | 5140s
epoch 0 step 1390/5234 | loss 1.2656 | lr 1.72e-05 | 5176s
epoch 0 step 1400/5234 | loss 1.3944 | lr 1.72e-05 | 5214s
epoch 0 step 1410/5234 | loss 1.3181 | lr 1.71e-05 | 5252s
epoch 0 step 1420/5234 | loss 1.3633 | lr 1.71e-05 | 5287s
epoch 0 step 1430/5234 | loss 1.1295 | lr 1.70e-05 | 5325s
